id;winner_ace;winner_df;winner_serve_points;winner_1st_in;winner_1st_won;winner_2nd_won;loser_df;loser_serve_points;loser_1st_in;loser_1st_won;loser_2nd_won;match_id;loser_ace
22610;2;3;49;28;23;11;2;61;39;20;13;102706;1
22611;2;2;114;89;51;10;3;94;73;45;9;102707;1
22612;0;2;66;54;35;4;1;64;40;24;8;102708;2
22613;2;0;37;29;21;6;6;70;44;22;11;102709;2
22614;0;1;51;29;22;14;1;43;35;17;5;102710;0
22615;4;3;54;23;18;16;3;46;22;13;8;102711;1
22616;4;0;57;30;25;13;3;59;41;25;5;102712;2
22617;3;2;71;39;30;14;4;76;42;28;13;102713;2
22618;2;3;107;73;41;21;7;118;51;37;30;102714;7
22619;4;2;53;34;24;11;3;64;41;22;9;102715;2
22620;5;2;54;28;22;13;1;46;30;18;2;102716;2
22621;5;2;49;41;31;3;1;63;34;22;10;102717;3
22622;3;3;60;34;27;12;0;50;23;14;12;102718;2
22623;1;4;87;44;27;21;1;88;54;32;9;102719;1
22624;13;6;85;48;38;17;3;93;54;36;15;102720;1
22625;0;1;88;76;50;3;0;87;69;38;10;102721;0
22626;3;2;63;42;31;9;1;59;34;20;14;102722;2
22627;4;5;76;39;30;20;1;63;33;20;17;102723;1
22628;3;4;73;45;27;15;2;66;30;16;16;102724;2
22629;1;1;65;43;33;12;2;65;37;27;15;102725;2
22630;0;1;88;66;42;11;7;101;55;31;23;102726;2
22631;7;3;69;32;25;13;1;81;52;25;14;102727;1
22632;0;0;52;28;18;18;1;65;45;25;10;102728;1
22633;5;1;70;48;37;6;0;49;37;19;7;102729;0
22634;0;2;88;63;40;9;3;92;66;33;12;102730;0
22635;4;2;59;37;30;11;4;64;36;27;9;102731;10
22636;7;5;100;73;52;12;1;107;80;50;12;102732;4
22637;6;1;72;43;32;17;2;63;47;28;10;102733;3
22638;7;2;67;37;30;15;3;72;54;36;5;102734;5
22639;6;0;72;41;31;19;2;82;43;33;19;102735;8
22640;10;5;85;52;41;20;3;80;50;39;16;102736;4
22641;4;2;49;28;25;12;2;49;33;17;7;102737;3
22642;13;3;78;50;41;16;4;81;47;35;18;102738;12
22643;9;2;69;38;32;18;2;66;38;29;14;102739;4
22644;10;1;56;35;26;11;1;51;19;15;11;102741;4
22709;3;3;80;47;37;17;2;93;60;46;11;102742;9
22710;6;4;79;49;34;14;2;75;40;28;14;102743;3
22711;4;4;58;31;26;15;0;54;37;24;9;102744;5
22712;9;8;93;61;45;14;2;90;41;28;28;102745;12
22713;5;1;44;21;18;14;0;49;24;15;9;102746;2
22714;14;1;73;32;30;16;4;72;40;28;12;102747;2
22715;12;3;81;45;35;16;8;77;41;28;15;102748;2
22716;10;8;80;30;25;22;5;71;32;24;18;102749;7
22717;0;2;82;54;33;16;2;55;32;20;7;102750;4
22718;2;2;82;46;35;21;5;95;53;37;19;102751;5
22719;23;3;88;55;41;26;2;82;45;39;18;102752;11
22720;12;8;119;66;44;28;4;97;59;46;20;102753;12
22721;7;3;54;38;30;9;3;66;34;26;10;102754;1
22722;10;5;62;31;25;18;6;66;40;27;10;102755;8
22723;6;0;47;32;27;9;7;55;25;20;12;102756;8
22724;9;3;100;63;42;23;3;88;35;27;31;102757;7
22725;7;1;68;35;28;20;6;72;43;25;17;102758;3
